name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"lp__",-892.208,0.0437401,1.58471,-895.258,-891.899,-890.268,1312.62,371.637,1.00535
"accept_stat__",0.939319,0.00122646,0.0809708,0.77324,0.970812,1,4358.64,1234.04,1.00115
"stepsize__",0.352995,0.0159733,0.0226236,0.334655,0.349678,0.390887,2.00602,0.567955,1.79305e+13
"treedepth__",3.2805,0.0162517,0.627231,2,3,4,1489.56,421.734,1.00972
"n_leapfrog__",11.3915,0.0874876,4.39711,7,15,15,2526.05,715.189,1.00896
"divergent__",0,nan,0,0,0,0,nan,nan,nan
"energy__",894.689,0.0605395,2.22399,891.644,894.348,898.835,1349.55,382.092,1.00487
"phi",0.273403,0.000529479,0.0265276,0.232262,0.271913,0.318126,2510.15,710.688,1.00085
"beta[1]",2.9,0.0048,0.23,2.5,2.8,3.2,2332,660,1.0
"beta[2]",1.3,0.0043,0.24,0.93,1.3,1.7,3126,885,1.00
"beta[3]",-0.77,0.0047,0.24,-1.2,-0.76,-0.37,2606,738,1.0
"beta[4]",-0.33,0.0045,0.26,-0.76,-0.33,0.10,3352,949,1.0
"eta[1]",5.9,0.011,0.64,4.9,5.8,7.0,3385,958,1.00
"eta[2]",5.9,0.012,0.70,4.8,5.8,7.1,3359,951,1.00
"eta[3]",2.1,0.0036,0.21,1.8,2.1,2.5,3449,976,1.00
"eta[4]",2.1,0.0035,0.21,1.8,2.1,2.5,3466,981,1.00
"eta[5]",2.2,0.0035,0.21,1.9,2.2,2.6,3453,978,1.00
"eta[6]",2.1,0.0036,0.21,1.7,2.1,2.4,3428,971,1.00
"eta[7]",2.8,0.0027,0.18,2.5,2.8,3.1,4516,1279,1.00
"eta[8]",3.1,0.0026,0.18,2.8,3.1,3.4,4512,1277,1.00
"eta[9]",2.9,0.0048,0.23,2.5,2.9,3.3,2335,661,1.0
"eta[10]",3.2,0.0045,0.22,2.8,3.2,3.5,2391,677,1.0
"eta[11]",4.6,0.0051,0.31,4.2,4.6,5.2,3665,1038,1.00
"eta[12]",3.1,0.0045,0.22,2.7,3.1,3.4,2378,673,1.0
"eta[13]",4.1,0.0042,0.24,3.7,4.1,4.5,3380,957,1.00
"eta[14]",3.9,0.0042,0.25,3.5,3.9,4.3,3392,960,1.00
"eta[15]",3.4,0.0040,0.21,3.1,3.4,3.8,2642,748,1.0
"eta[16]",8.5,0.017,1.0,6.9,8.4,10,3420,968,1.00
"eta[17]",3.1,0.0041,0.21,2.8,3.1,3.5,2552,723,1.0
"eta[18]",3.8,0.0040,0.22,3.5,3.8,4.2,3089,875,1.0
"eta[19]",2.9,0.0048,0.23,2.5,2.9,3.3,2338,662,1.0
"eta[20]",7.3,0.013,0.75,6.1,7.3,8.6,3508,993,1.00
"eta[21]",3.1,0.0043,0.21,2.8,3.1,3.5,2420,685,1.0
"eta[22]",2.9,0.0047,0.23,2.5,2.9,3.3,2345,664,1.0
"eta[23]",4.1,0.0042,0.24,3.7,4.1,4.5,3346,947,1.00
"eta[24]",4.4,0.0049,0.30,3.9,4.4,4.9,3643,1031,1.00
"eta[25]",3.9,0.0040,0.23,3.5,3.9,4.3,3162,895,1.00
"eta[26]",4.1,0.0042,0.24,3.7,4.1,4.5,3358,951,1.00
"eta[27]",3.1,0.0042,0.21,2.7,3.1,3.4,2525,715,1.0
"eta[28]",3.1,0.0044,0.22,2.8,3.1,3.5,2396,678,1.0
"eta[29]",3.2,0.0043,0.21,2.8,3.2,3.5,2440,691,1.0
"eta[30]",3.6,0.0040,0.21,3.3,3.6,4.0,2829,801,1.0
"eta[31]",2.9,0.0047,0.23,2.5,2.9,3.3,2342,663,1.0
"eta[32]",3.0,0.0046,0.22,2.6,3.0,3.4,2372,672,1.0
"eta[33]",3.5,0.0040,0.21,3.1,3.5,3.8,2682,759,1.0
"eta[34]",2.9,0.0047,0.23,2.5,2.9,3.3,2340,663,1.0
"eta[35]",5.5,0.0073,0.44,4.8,5.5,6.2,3676,1041,1.00
"eta[36]",2.9,0.0048,0.23,2.5,2.8,3.2,2332,660,1.0
"eta[37]",2.9,0.0048,0.23,2.5,2.8,3.2,2332,660,1.0
"eta[38]",5.8,0.0088,0.53,5.0,5.8,6.7,3628,1027,1.00
"eta[39]",4.3,0.0040,0.22,3.9,4.3,4.7,3107,880,1.0
"eta[40]",3.4,0.0045,0.22,3.1,3.4,3.8,2373,672,1.0
"eta[41]",3.0,0.0045,0.22,2.7,3.0,3.4,2372,672,1.0
"eta[42]",3.5,0.0040,0.21,3.2,3.5,3.9,2738,775,1.0
"eta[43]",3.0,0.0045,0.22,2.7,3.0,3.4,2372,672,1.0
"eta[44]",3.3,0.0040,0.21,3.0,3.3,3.7,2759,781,1.0
"eta[45]",3.0,0.0045,0.22,2.7,3.0,3.4,2389,676,1.0
"eta[46]",2.9,0.0048,0.23,2.5,2.9,3.3,2336,661,1.0
"eta[47]",2.9,0.0048,0.23,2.5,2.9,3.3,2335,661,1.0
"eta[48]",2.9,0.0048,0.23,2.5,2.9,3.3,2338,662,1.0
"eta[49]",2.9,0.0048,0.23,2.5,2.8,3.2,2332,660,1.0
"eta[50]",2.9,0.0048,0.23,2.5,2.9,3.3,2338,662,1.0
"eta[51]",3.0,0.0048,0.23,2.6,3.0,3.4,2338,662,1.0
"eta[52]",3.4,0.0042,0.21,3.0,3.4,3.7,2483,703,1.0
"eta[53]",2.9,0.0046,0.22,2.6,2.9,3.3,2356,667,1.0
"eta[54]",3.1,0.0044,0.22,2.7,3.1,3.5,2390,677,1.0
"eta[55]",2.7,0.0048,0.23,2.3,2.6,3.0,2338,662,1.0
"eta[56]",6.3,0.0096,0.58,5.4,6.3,7.3,3600,1019,1.00
"eta[57]",4.3,0.0057,0.34,3.7,4.2,4.8,3685,1043,1.00
"eta[58]",5.4,0.0087,0.51,4.6,5.3,6.3,3475,984,1.00
"eta[59]",2.3,0.0036,0.21,2.0,2.3,2.7,3439,974,1.00
"eta[60]",6.9,0.014,0.79,5.7,6.9,8.3,3323,941,1.00
"eta[61]",2.6,0.0027,0.17,2.4,2.6,2.9,4128,1169,1.00
"eta[62]",2.1,0.0031,0.19,1.8,2.1,2.4,3717,1052,1.00
"eta[63]",5.5,0.0092,0.54,4.7,5.5,6.4,3453,978,1.00
"eta[64]",2.9,0.0028,0.18,2.6,2.9,3.2,3998,1132,1.00
"eta[65]",2.1,0.0036,0.21,1.8,2.1,2.5,3450,977,1.00
"eta[66]",4.6,0.0072,0.43,3.9,4.6,5.3,3577,1013,1.00
"eta[67]",2.3,0.0032,0.19,1.9,2.3,2.6,3614,1023,1.00
"eta[68]",4.1,0.0049,0.30,3.6,4.1,4.6,3793,1074,1.00
"eta[69]",2.4,0.0030,0.19,2.1,2.4,2.7,3755,1063,1.00
"eta[70]",4.9,0.0074,0.44,4.3,4.9,5.7,3556,1007,1.00
"eta[71]",2.6,0.0027,0.17,2.3,2.6,2.9,4073,1153,1.00
"eta[72]",6.1,0.013,0.75,5.0,6.1,7.5,3339,945,1.00
"eta[73]",2.2,0.0034,0.20,1.9,2.2,2.5,3520,997,1.00
"eta[74]",2.1,0.0035,0.21,1.8,2.1,2.5,3479,985,1.00
"eta[75]",2.9,0.0026,0.17,2.6,2.9,3.2,4477,1268,1.00
"eta[76]",2.2,0.0034,0.20,1.9,2.2,2.5,3527,999,1.00
"eta[77]",3.8,0.0035,0.23,3.4,3.8,4.2,4141,1172,1.00
"eta[78]",4.3,0.0056,0.34,3.8,4.3,4.9,3695,1046,1.00
"eta[79]",2.3,0.0032,0.19,1.9,2.3,2.6,3612,1023,1.00
"eta[80]",2.3,0.0031,0.19,2.0,2.3,2.6,3699,1047,1.00
"eta[81]",2.1,0.0036,0.21,1.7,2.1,2.4,3428,971,1.00
"eta[82]",2.4,0.0029,0.18,2.1,2.4,2.7,3869,1095,1.00
"eta[83]",4.0,0.0047,0.29,3.6,4.0,4.5,3832,1085,1.00
"eta[84]",2.6,0.0028,0.18,2.4,2.6,2.9,3960,1121,1.00
"eta[85]",2.4,0.0029,0.18,2.2,2.4,2.7,3887,1101,1.00
